sensor_role,timestamp_start_ms,timestamp_end_ms,n_samples,dt_mean_ms,dt_std_ms,acc_mean,acc_std,acc_max,acc_min,acc_rms,acc_ptp,acc_energy,gyro_mean,gyro_std,gyro_max,gyro_rms
left_ankle,1770766815583.0,1770766815783.0,3,89.0,30.0,1.0400891111035018,0.00040110065288920526,1.04057878271347,1.0395963057713262,1.0400891884438592,0.0009824769421438173,3.245356559753418,0.0,0.0,0.0,0.0
left_ankle,1770766816183.0,1770766816383.0,3,89.5,30.5,1.0389504954264481,0.0006068917726470358,1.039589425618904,1.038134741510644,1.0389506726810882,0.001454684108259885,3.238255500793457,0.0,0.0,0.0,0.0
left_ankle,1770766816983.0,1770766817183.0,3,89.5,60.5,1.0395922184670248,0.0006866712232509023,1.0405633169227466,1.0391052925648367,1.0395924452469625,0.0014580243579098706,3.2422573566436768,0.0,0.0,0.0,0.0
left_ankle,1770766817583.0,1770766817783.0,3,90.0,31.0,1.0347035346094902,0.0006853678715093679,1.0356727319283405,1.0342096571141481,1.0347037615967634,0.0014630748141923888,3.2118356227874756,0.0,0.0,0.0,0.0
left_wrist,1770766815196.0,1770766815396.0,3,89.5,29.5,1.229135382687024,0.3180167398870013,1.6252421418759773,0.8466191429657636,1.2696095603852127,0.7786229989102137,4.8357253074646,222.18444472388333,33.401815536130826,264.1595075391324,224.68112684061845
right_ankle,1770766815195.0,1770766815395.0,3,90.5,30.5,1.013501550840333,0.0020636301219674916,1.016246664081649,1.0112710205081306,1.0135036517571314,0.004975643573518429,3.081568956375122,0.6813238531996837,0.26877427339619314,1.055396512804601,0.732421875
right_ankle,1770766815795.0,1770766815995.0,3,90.5,31.5,1.011952060222563,0.0007493212740994477,1.0126153809538263,1.0109046989673591,1.0119523376479058,0.0017106819864671774,3.0721426010131836,0.08388479869827598,0.11863101999603883,0.2516543960948279,0.1452927333281016
right_ankle,1770766816595.0,1770766816795.0,3,90.5,29.5,1.0118704684066073,0.0006817347995323144,1.0126442229609285,1.0109854732492312,1.0118706980616368,0.001658749711697327,3.0716469287872314,0.0,0.0,0.0,0.0
right_ankle,1770766817195.0,1770766817395.0,3,90.0,29.0,1.0110317400747257,0.00038234020324230846,1.011527142736142,1.01059640026497,1.0110318123692046,0.0009307424711719747,3.066555976867676,0.0,0.0,0.0,0.0
right_ankle,1770766817895.0,1770766818095.0,3,90.5,29.5,1.7020623176297802,0.5021227388244843,2.4033063247193005,1.254571850911103,1.7745825925946248,1.1487344738081975,9.44743013381958,299.42717331996676,110.59179695428158,391.91426660697226,319.1977093839529
right_ankle,1770766818495.0,1770766818695.0,3,90.0,29.0,1.0885916931870112,0.0634391204905253,1.178307743217293,1.043497473040575,1.0904386257302037,0.13481027017671798,3.5671691894531254,109.47020180963038,135.56001581782928,301.0871990819528,174.24190934666473
right_ankle,1770766819295.0,1770766819495.0,3,89.0,31.0,1.107027206801808,0.051307588090804095,1.1560356353824253,1.036183664294667,1.1082155499699096,0.11985197108775836,3.684425115585327,223.09293783951534,313.56622377913925,666.5417139976737,384.8301386442791
right_ankle,1770766819895.0,1770766820095.0,3,90.0,33.0,1.0355179578526363,0.00022930644418694753,1.0356819401468003,1.0351936765418683,1.0355179832415948,0.00048826360493192666,3.2168924808502197,0.41279222544825034,0.05873209688381817,0.49585195340795657,0.41694949405760084
